RANK,TEAM,CONF,DIVISION,GP,PPG,oPPG,pDIFF,PACE,oEFF,dEFF,eDIFF,SoS,rSoS,SAR,CONS,A4F,W,L,WIN%,eWIN%,pWIN%,ACH,STRK
1,BOS,East,Atlantic,41,115.6,106.2,9.4,96.2,119.3,109.6,9.7,-0.1,0,9.6,14.6,0.025,33,8,0.805,0.748,0.81,0.057,-1
2,CLE,East,Central,41,121.2,113.7,7.5,99.1,122.4,114.8,7.6,-0.09,0,7.51,13.2,0.049,30,11,0.732,0.717,0.747,0.015,1
3,NYK,East,Atlantic,41,114,112.6,1.4,96.1,117.2,115.7,1.5,0.19,0,1.69,16.1,-0.016,24,17,0.585,0.537,0.546,0.048,1
4,DET,East,Central,41,116,113.6,2.4,100,115.1,112.7,2.4,1.5,0,3.9,14.5,0.025,22,19,0.537,0.566,0.579,-0.029,-1
5,CHI,East,Central,41,119,119.9,-0.9,102.7,115.3,116.1,-0.8,1.85,0,1.05,13.9,0.05,21,20,0.512,0.477,0.47,0.035,1
6,IND,East,Central,41,116.4,116.1,0.3,100,115.2,115,0.2,1.94,0,2.14,15.7,-0.031,21,20,0.512,0.505,0.51,0.007,2
7,MIL,East,Central,40,112.4,113.3,-0.9,98.7,113.7,114.6,-0.9,1.9,0,1,16,0.025,20,20,0.5,0.478,0.47,0.022,5
8,ORL,East,Southeast,41,105.2,107.6,-2.4,96.1,108.9,111.3,-2.4,1.13,0,-1.27,15.3,-0.082,19,22,0.463,0.438,0.421,0.025,-1
9,ATL,East,Southeast,42,118.1,119.2,-1.1,101.9,115.1,116.1,-1,1.2,0,0.2,13,-0.037,19,23,0.452,0.469,0.464,-0.017,2
10,MIA,East,Southeast,41,109.5,109.9,-0.4,97.1,111.4,111.8,-0.4,0.97,0,0.57,11.5,-0.02,18,23,0.439,0.486,0.487,-0.047,1
11,BKN,East,Atlantic,41,106.4,111.9,-5.5,96.2,109.8,115.5,-5.7,1.76,0,-3.94,15.9,-0.047,14,27,0.341,0.36,0.319,-0.019,-1
12,PHI,East,Atlantic,41,110,115.9,-5.9,98,111.6,117.7,-6.1,1.31,0,-4.79,14.5,-0.097,12,29,0.293,0.337,0.306,-0.044,1
13,TOR,East,Atlantic,41,109.8,115.6,-5.8,100,109.3,115.1,-5.8,1.57,0,-4.23,16.2,-0.04,12,29,0.293,0.36,0.309,-0.067,-2
14,WAS,East,Southeast,41,106.5,118.6,-12.1,100,106.5,118.6,-12.1,2.9,0,-9.2,12.6,-0.023,10,31,0.244,0.169,0.102,0.075,1
15,CHA,East,Southeast,41,103.8,116.6,-12.8,98.4,105.3,118.2,-12.9,1.93,0,-10.97,14.3,-0.054,7,34,0.171,0.184,0.079,-0.013,-9